category,fname,prestime,Action_correct,Action_none,Action_wrong,Context_correct,Context_none,Context_wrong,Object_correct,Object_none,Object_wrong,Sensory_correct,Sensory_none,Sensory_wrong,KeyAction,KeyObject,KeyContext
locomotion,locomotion_skateboarding1.png,50.0,2,0,3,2,3,0,1,2,2,0,5,0,1,1,0
food,food_grocery_shopping.png,50.0,1,3,1,3,1,1,1,2,2,0,5,0,1,0,2
communication,communication_knocking_door.png,50.0,0,3,2,1,3,1,0,3,2,1,4,0,0,0,0
hobby,hobby_fishing.png,50.0,5,0,0,4,1,0,2,3,0,0,5,0,2,2,4
hobby,hobby_riding_carriage.png,50.0,0,5,0,2,3,0,3,0,2,1,4,0,0,3,0
communication,communication_phoning.png,50.0,3,0,2,4,1,0,3,1,1,3,2,0,0,0,0
cleaning,cleaning_applyingCream.png,50.0,0,3,2,0,5,0,0,5,0,4,1,0,0,0,0
food,food_eating_fork.png,50.0,3,1,1,3,1,1,2,3,0,0,5,0,0,1,0
hobby,hobby_playing_tennis.png,50.0,1,1,3,1,4,0,1,3,1,0,5,0,0,0,0
cleaning,cleaning_washing_face.png,50.0,0,4,1,0,4,1,1,4,0,3,2,0,0,0,0
communication,communication_waving.png,50.0,1,4,0,2,3,0,0,2,3,1,3,1,0,0,0
locomotion,locomotion_hiking1.png,50.0,4,0,1,5,0,0,3,2,0,1,4,0,2,2,4
